Předmět;Počátečnídatum;Začátek;Koncovédatum;Konec;Celodennízvlátníudálost;Připomenutízapnutočivypnuto;Počátečnídatum;Časpřipomenutí;Organizátorschůzek;Povinníúčastníci;Nepovinníúčastníci;Prostředkyproschůzku;Faktury;Kategorie;Popis;Priorita;Soukromé;Umístění;Utajení;Vzdálenost;Zobrazitčasjako
Vezmi a čti Gn 1–2 ;07.10.2013;0:00:00;08.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;07.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-07;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 3–5;08.10.2013;0:00:00;09.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;08.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-08;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 6–9;09.10.2013;0:00:00;10.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;09.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-09;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 10–11;10.10.2013;0:00:00;11.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;10.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-10;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 12–14 ;11.10.2013;0:00:00;12.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;11.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-11;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 15–17 ;12.10.2013;0:00:00;13.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;12.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-12;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 18–20 ;14.10.2013;0:00:00;15.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;14.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-14;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 21–23 ;15.10.2013;0:00:00;16.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;15.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-15;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 24–26 ;16.10.2013;0:00:00;17.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;16.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-16;Střední;NEPRAVDA;;Normální;;3
Vezmi a čti Gn 27–29 ;17.10.2013;0:00:00;18.10.2013;0:00:00;NEPRAVDA;NEPRAVDA;17.10.2013;6:00:00;;;;;;;http://www.vezmiacti.cz/index.php?page=cetba-bible-2013-10-17;Střední;NEPRAVDA;;Normální;;3
